"Status","Name"
"OK","AJRouter"
"OK","ALG"
"OK","AppIDSvc"
"OK","Appinfo"
"OK","Apple Mobile Device Service"
"OK","AppMgmt"
"OK","AppReadiness"
"OK","AppVClient"
"OK","AppXSvc"
"OK","AssignedAccessManagerSvc"
"OK","AudioEndpointBuilder"
"OK","Audiosrv"
"OK","autotimesvc"
"OK","AxInstSV"
"OK","BDESVC"
"OK","BFE"
"OK","BITS"
"OK","Bonjour Service"
"OK","BrokerInfrastructure"
"OK","BTAGService"
"OK","BthAvctpSvc"
"OK","bthserv"
"OK","camsvc"
"OK","CDPSvc"
"OK","CertPropSvc"
"OK","ClipSVC"
"OK","cloudidsvc"
"OK","COMSysApp"
"OK","CoreMessagingRegistrar"
"OK","CryptSvc"
"OK","CscService"
"OK","DcomLaunch"
"OK","dcsvc"
"OK","defragsvc"
"OK","DeviceAssociationService"
"OK","DeviceInstall"
"OK","DevQueryBroker"
"OK","Dhcp"
"OK","diagnosticshub.standardcollector.service"
"OK","diagsvc"
"OK","DiagTrack"
"OK","DialogBlockingService"
"OK","DispBrokerDesktopSvc"
"OK","DisplayEnhancementService"
"OK","DmEnrollmentSvc"
"OK","dmwappushservice"
"OK","Dnscache"
"OK","DoSvc"
"OK","dot3svc"
"OK","DPS"
"OK","DsmSvc"
"OK","DsSvc"
"OK","DusmSvc"
"OK","Eaphost"
"OK","edgeupdate"
"OK","edgeupdatem"
"OK","EFS"
"OK","embeddedmode"
"OK","EntAppSvc"
"OK","EventLog"
"OK","EventSystem"
"OK","Fax"
"OK","fdPHost"
"OK","FDResPub"
"OK","fhsvc"
"OK","FontCache"
"OK","FrameServer"
"OK","gpsvc"
"OK","GraphicsPerfSvc"
"OK","hidserv"
"OK","HvHost"
"OK","icssvc"
"OK","IKEEXT"
"OK","InstallService"
"OK","iphlpsvc"
"OK","IpxlatCfgSvc"
"OK","KeyIso"
"OK","KtmRm"
"OK","LanmanServer"
"OK","LanmanWorkstation"
"OK","lfsvc"
"OK","LicenseManager"
"OK","lltdsvc"
"OK","lmhosts"
"UNKNOWN","LSM"
"OK","LxpSvc"
